id,id_duplicate,ignore,country,name_short,name,name_english,name_source
8001,,0,ALB,,Partia Socialiste,Socialist Party,AL: Partia Socialiste - Socialist Party
8002,,0,ALB,,Partia Demokratike,Democratic Party,AL: Partia Demokratike - Democratic Party
8003,,0,ALB,,Partia Demokratike e Reformuar,The Reformed Democratic Party,AL: Partia Demokratike e Reformuar - The Reformed Democratic Party
8004,,0,ALB,,Partia Social Demokrate,The Social Democrat Party,AL: Partia Social Demokrate - The Social Democrat Party
8005,,0,ALB,,Partia Republikane,The Republican Party,AL: Partia Republikane - The Republican Party
8006,,0,ALB,,Partia e Alencas Demokratike,The Democratic Alliance Party,AL: Partia e Alencas Demokratike - The Democratic Alliance Party
8007,,0,ALB,,Partia e ta Drejtave ta Njeriut,The Human Rights Party,AL: Partia e ta Drejtave ta Njeriut - The Human Rights Party
8008,,0,ALB,,Partia e Ballit,The Front Party,AL: Partia e Ballit -The Front Party
8009,,0,ALB,,Partia e Legalitetit,The Legalization Party,AL: Partia e Legalitetit - The Legalization Party
8010,,0,ALB,,Partia Agrare The Agricultural Party,,AL: Partia Agrare The Agricultural Party
8011,,0,ALB,,Partia e Demokristiane,The Demochristian Party,AL: Partia e Demokristiane -The Demochristian Party
8012,,0,ALB,,Partia Komuniste,The Communist Party,AL: Partia Komuniste - The Communist Party
8013,,0,ALB,,Partia Djathta Demokratike,The Right (wing) Democratic Party,AL: Partia Djathta Demokratike - The Right (wing) Democratic Party
8014,,0,ALB,,Partia e Re e Punas,The New Labor Party,AL: Partia e Re e Punas - The New Labor Party
8015,,0,ALB,,Partia e Unitetit Kombatar,The National Unity Party,AL: Partia e Unitetit Kombatar - The National Unity Party
8021,,0,ALB,PLD,Levizja per Demokraci,,AL: Levizja per Demokraci (PLD)
8022,,0,ALB,PUD,,Party of Union for Democracy,AL: Party of Union for Democracy (PUD)
8023,,1,ALB,,,Other,AL: Other
8024,,0,ALB,PDSSH,,The Social Democracy Party of Albania,AL - The Social Democracy Party of Albania - PDSSH
8025,,0,ALB,LSI,,The Socialist Movement for Integration,AL - The Socialist Movement for Integration - LSI
8026,,0,ALB,PDL,,The Liberal Democracy Party,AL - The Liberal Democracy Party - PDL
8027,,0,ALB,PDR,,The New Democratic Party,AL - The New Democratic Party - PDR
8028,,0,ALB,PLL,,Movement for Legality Party,AL - Movement for Legality Party - PLL
8029,,0,ALB,PBDNJ,,Union for Human Rights Party,AL - Union for Human Rights Party - PBDNJ
8030,,0,ALB,PBK,,National Front Party,AL - National Front Party - PBK
8031,,0,ALB,PAA,,The Environmentalist Agrarian Party,AL - The Environmentalist Agrarian Party - PAA
8032,,0,ALB,PDK,,The Christian Democratic Party of Albania,AL - The Christian Democratic Party of Albania - PDK
12001,,0,DZA,FLN,Front de libération Nationale,,DZ: FLN ((Front de libération Nationale)
12002,,0,DZA,RCD,Rassemblement pour la culture et la démocratie,,DZ: RCD  (Rassemblement pour la culture et la démocratie)
12003,,0,DZA,,Hamas,,DZ: Hamas
12004,,0,DZA,,Nahda,,DZ: Nahda
12005,,0,DZA,FFS,Front des forces socialistes,,DZ: FFS (Front des forces socialistes)
12006,,0,DZA,RND,Rassemblement national démocratique,,DZ: RND (Rassemblement national démocratique)
12007,,0,DZA,HMS,Mouvement de la société pour la paix,,DZ: HMS (Mouvement de la société pour la paix)
12008,,0,DZA,PT,Parti des travailleurs,,DZ: PT (Parti des travailleurs)
12009,,0,DZA,MI,Mouvement pour la réforme nationale,,DZ: MI (Mouvement pour la réforme nationale)
12010,,0,DZA,FNA,Front national algérien,,DZ: FNA (Front national algérien)
12011,,0,DZA,AHD 54,Serment de 1954,,DZ: AHD 54 (Serment de 1954)
12012,,0,DZA,PNSD,Parti national pour la solidarité et le développement,,DZ: PNSD (Parti national pour la solidarité et le développement)
12013,,0,DZA,Ennahda-MN,Mouvement de la renaissance islamique,,DZ: Ennahda (MN) (Mouvement de la renaissance islamique)
12014,,0,DZA,FJD,Front pour la justice et le développement,,DZ: FJD (Front pour la justice et le développement)
20001,,0,AND,,Partit Liberal,,AD: Partit Liberal
20002,,0,AND,,Centre Democràtic Andorrà,,AD: Centre Democràtic Andorrà
20003,,0,AND,,Segle XXI,,AD: Segle XXI
20004,,0,AND,,Renovació democràtica,,AD: Renovació democràtica
20005,,0,AND,,Partit Socialdemòcrata,,AD: Partit Socialdemòcrata
20006,,0,AND,,Els Verds d´Andorra,,AD: Els Verds d´Andorra
31001,,0,AZE,,,New Azerbaijan Party,AZ: New Azerbaijan Party
31002,,0,AZE,,,Party of the National Independence,AZ: Party of the National Independence
31003,,0,AZE,AkhCh,Khalg Jabkhesi Partyasi,,AZ: Khalg Jabkhesi Partyasi (AKhCh)
31004,,0,AZE,AMDP,Azerbaijan Milli Dovletchilik Partyasi,,AZ: Azerbaijan Milli Dovletchilik Partyasi (AMDP)
31005,,0,AZE,AVP,Ana Veten Partyasi,,AZ: Ana Veten Partyasi (AVP)
31006,,0,AZE,ADSP,,Azerbaijan Demokratik Sakhibkarlar Partyasi,AZ: Azerbaijan Demokratik Sakhibkarlar Partyasi (ADSP)
31007,,0,AZE,,,Liberal Party of Azerbaijan,AZ: Liberal Party of Azerbaijan
31008,,0,AZE,,,Musavat Party,AZ: Musavat Party
31009,,0,AZE,,Vakhid Azerbaijan,United Azerbaijan,AZ: United Azerbaijan (Vakhid Azerbaijan)
31010,,0,AZE,,Azerbaijan Derchelish ve Tereggi Partyasi,,AZ: Azerbaijan Derchelish ve Tereggi Partyasi
31011,,0,AZE,,Vetendesh Khemreyliyi Partyasi,,AZ: Vetendesh Khemreyliyi Partyasi
31012,,0,AZE,DYP,Dogru Yil Partyasi,,AZ: Dogru Yil Partyasi (DYP)
31013,,0,AZE,Yurddash,Iurddash,,AZ: Iurddash (Yurddash)
31014,,0,AZE,ADIP,Azerbaijan Democratik Istiglal Partyasi,,AZ: Azerbaijan Democratik Istiglal Partyasi (ADIP)
31015,,0,AZE,,,Azerbaijan Namine Alyans,AZ: Azerbaijan Namine Alyans
31017,,0,AZE,,,Communist Party,AZ: Communist Party
31018,,0,AZE,,,Musavat/Equality Party,AZ: Musavat/Equality Party
31019,,0,AZE,,,Democratic Party of Azerbaijan,AZ: Democratic Party of Azerbaijan
31020,,0,AZE,,,Social-Democratic Party,AZ: Social-Democratic Party
31021,,0,AZE,,,Justice Party,AZ: Justice Party
31022,,0,AZE,,,Azerbaijan Hope Party,AZ: Azerbaijan Hope Party
31023,,0,AZE,,,Social Prosperity Party,AZ: Social Prosperity Party
31024,,0,AZE,,,Azerbaijan Party of Democratic Reform,AZ: Azerbaijan Party of Democratic Reform
31025,,0,AZE,,,Whole Azerbaijan Popular Front Party,AZ: Whole Azerbaijan Popular Front Party
31026,,0,AZE,,,Great Order Party,AZ: Great Order Party
31027,,0,AZE,,,Civil Union Party,AZ: Civil Union Party
31028,,1,AZE,,,Other,AZ: Other
31029,,0,AZE,,,People Front Party of Azerbaijan,AZ: People Front Party of Azerbaijan
31030,,0,AZE,AMIP,Azerbaijan Milli Istiglal Partyasi,,AZ: Azerbaijan Milli Istiglal Partyasi (AMIP)
31031,31001,0,AZE,YAP,Yeni Azerbaijan,,AZ: Yeni Azerbaijan (YAP)
32001,,1,ARG,,Cristina Fernandez Kirchner,,AR: Cristina Fernandez Kirchner
32002,,1,ARG,,Daniel Scioli,,AR: Daniel Scioli
32003,,1,ARG,,Mauricio Macri,,AR: Mauricio Macri
32004,,1,ARG,,Hermes Binner,,AR: Hermes Binner
32005,,1,ARG,,Ricardo Alfonsin,,AR: Ricardo Alfonsin
32006,,0,ARG,,Frepaso,,AR: Frepaso
32007,,0,ARG,,Modin,,AR: Modin
32008,,0,ARG,,,López Murphy Party (Recrear),AR: López Murphy Party (Recrear)
32009,,0,ARG,,,"Compromise for change, Macri Party","AR: Compromise for change, Macri Party"
32010,,0,ARG,ARI,,Eliza Carrio Party,AR: Eliza Carrio Party (ARI)
32011,,0,ARG,,,Lavagna group,AR: Lavagna group
32012,,0,ARG,,,Justicialista Party,AR: Justicialista Party
32013,,1,ARG,,Alianza UCR Frepaso,,AR: Alianza UCR Frepaso
32014,,0,ARG,,,Cavallo party,AR: Cavallo party
32015,,1,ARG,,,Other,AR: Other
36001,,0,AUS,,Australian Labour Party,Australian Labour Party,AU: Australian Labour Party
36002,,0,AUS,,Liberal Party,Liberal Party,AU: Liberal Party
36003,,0,AUS,,National Party,National Party,AU: National Party
36004,,0,AUS,,The Greens,The Greens,AU: The Greens
36005,,0,AUS,,Australian Democrats,Australian Democrats,AU: Australian Democrats
36006,,0,AUS,,Country Liberal Party (Nor.Terr),Country Liberal Party (Nor.Terr),AU: Country Liberal Party (Nor.Terr)
36007,,1,AUS,,Independent,Independent,AU: Independent
36008,,0,AUS,,One Nation,One Nation,AU: One Nation
36009,,0,AUS,,Family First,Family First,AU: Family First
36010,,0,AUS,,Christian Democratic Party,Christian Democratic Party,AU: Christian Democratic Party
36011,,0,AUS,,Shooters and Fishers Party,Shooters and Fishers Party,AU: Shooters and Fishers Party
36012,,1,AUS,,Other,Other,AU: Other
40001,,0,AUT,SPÖ,,,AT: SPÃ?
40002,,0,AUT,ÖVP,,,AT: Ã?VP
40003,,0,AUT,FPÖ,,,AT: FPÃ?
40004,,0,AUT,,Gruene,,AT: Gruene
40005,,0,AUT,,Liberales Forum,,AT: Liberales Forum
40006,,0,AUT,KPÖ,,,AT: KPÃ?
40007,,0,AUT,DU,DU -- Lugner,,AT: DU - Lugner
40008,,0,AUT,BZÖ,,Alliance for the Future of Austria,AT - Alliance for the Future of Austria - BZÃ?
40009,,0,AUT,,Liste Hans Peter Martin,"Dr. Martin's List -- For Democracy, Control, Justice","AT - Dr. Martinâ??s List - For Democracy, Control, Justice\Liste Hans Peter Martin"
40010,,1,AUT,,,Other,AT - Other
50001,,0,BGD,,,Awami League,BD: Awami League
50002,,0,BGD,BNP,,Bangladesh National Party,BD: Bangladesh National Party (BNP)
50003,,0,BGD,,,Jatiya Party,BD: Jatiya Party
50004,,0,BGD,,Jamat,,BD: Jamat
50005,,1,BGD,,,Other,BD: Other
51001,,0,ARM,HHS,Hayots Hamazgayin Shargzum,Pan-Armenian National Movement,AM: Pan-Armenian National Movement - Hayots Hamazgayin Shargzum (HHSh)
51002,,0,ARM,HHD,Hay Heghapokhakan Dashnaktsutyun,Armenian Revolutionary Federation,AM: Armenian Revolutionary Federation - Hay Heghapokhakan Dashnaktsutyun (HHD)
51003,,0,ARM,HKK,Hayastani Komunistakan Kusaktsutyun,Armenian Communist Party,AM: Armenian Communist Party - Hayastani Komunistakan Kusaktsutyun (HKK)
51004,,0,ARM,HRAK,Hayastani Ramkavar Azatakan Kusaktsutyun,Armenian Democratic Liberal Party,AM: Armenian Democratic Liberal Party - Hayastani Ramkavar Azatakan Kusaktsutyun (HRAK)
51005,,0,ARM,AGzM,Azgayin Gzoghovrdakan Miutyun,National Unity,AM: National Unity - Azgayin Gzoghovrdakan Miutyun (AGzM)
51006,,0,ARM,,Azgayin Inknoroshum Miavorum,,AM: Azgayin Inknoroshum Miavorum
51007,,0,ARM,HDK,Hayastani Demokratakan Kusaktsutyun,Democratic Party of Armenia,AM: Democratic Party of Armenia - Hayastani Demokratakan Kusaktsutyun (HDK)
51008,,0,ARM,,Sotsial-Demokratakan Hnchakyan Kusaktsutyun,,AM: Sotsial-Demokratakan Hnchakyan Kusaktsutyun
51009,,0,ARM,HHK,Hayastani Hanrapetakan Kusaksutyun,Republican Party of Armenia,AM: Republican Party of Armenia - Hayastani Hanrapetakan Kusaksutyun (HHK)
51010,,0,ARM,KDM,Kristonya-Demokratakan Miutyun,,AM: Kristonya-Demokratakan Miutyun (KDM)
51011,,0,ARM,SIM,Sahmanadrakan Iravunk Miutyun,,AM: Sahmanadrakan Iravunk Miutyun (SIM)
51012,,0,ARM,,Tagavorakan Kusaktsutyun,,AM: Tagavorakan Kusaktsutyun (TaK)
51013,,0,ARM,GKM,Gita-ardyunaberakan ev Kaghakatsiakan Miutyun,,AM: Gita-ardyunaberakan ev Kaghakatsiakan Miutyun (GKM)
51014,,0,ARM,AHKK,Artsakh-Hayastan Hasarakakan-Kaghakakan Kazmakerputyun,,AM: Artsakh-Hayastan Hasarakakan-Kaghakakan Kazmakerputyun AHKK
51015,,0,ARM,SWM,,Shamiram Women's Movement,AM: Shamiram Women's Movement (SWM)
51016,51002,0,ARM,,,Armenian Revolutionary Federation,AM - Armenian Revolutionary Federation = 51002
51017,51003,0,ARM,,,Communist Party of Armenia,AM - Communist Party of Armenia =51003
51018,51009,0,ARM,,,Republican Party of Armenia,AM - Republican Party of Armenia = 51009
51019,,0,ARM,,,Impeachment Alliance,AM - Impeachment Alliance
51020,,0,ARM,,,National Democratic Union,AM - National Democratic Union
51021,51005,0,ARM,,,National Unity,AM - National Unity = 51005
51022,,0,ARM,,,New Times,AM - New Times
51023,,0,ARM,,Zharangutyun,Heritage,AM: Heritage - Zharangutyun
51024,51001,0,ARM,,,Pan-Armenian National Movement,AM - Pan-Armenian National Movement = 51001
51025,,0,ARM,,,People's Party of Armenia,AM - People's Party of Armenia
51026,51025,0,ARM,,,People's Party,AM - People's Party = 51025
51027,,0,ARM,BHK,Bargavach Hayastani Kusaktsutyun,Prosperous Armenia,AM: Prosperous Armenia - Bargavach Hayastani Kusaktsutyun  (BHK)
51028,,0,ARM,,,Republic,AM - Republic ??
51029,,0,ARM,OEK,Orinats Yerkir,Rule of Law,AM: Rule of Law - Orinats Yerkir (OEK)
51030,,0,ARM,,,Dashink' Party,AM - Dashink' Party
51031,,0,ARM,,,Amenian National Congress,AM: Amenian National Congress
51032,,0,ARM,,,Henchakyan Party,AM: Henchakyan Party
56001,,0,BEL,,Agalev,,BE: Agalev
56002,,0,BEL,CVP,,,BE: CVP
56003,,0,BEL,VLD,,,BE: VLD
56004,,0,BEL,SP,,,BE: SP
56005,,0,BEL,,Vlaams Blok,,BE: Vlaams Blok
56006,,0,BEL,VU-ID,VU -- ID -- 21,,BE: VU - ID - 21
56007,,0,BEL,WOW,,,BE: WOW
56008,,0,BEL,PVDS-AE,,,BE: PVDS - AE
56009,,0,BEL,,Vivant,,BE: Vivant
56010,,0,BEL,PNPb,,,BE: PNPb
56011,,0,BEL,PS,,,BE: PS
56012,,0,BEL,PSC,,,BE: PSC
56013,,0,BEL,PRL-FDF-MCC,PRL -- FDF -- MCC,,BE: PRL - FDF - MCC
56014,,0,BEL,,Ecolo,,BE: Ecolo
56015,,0,BEL,,,Front National,BE: Front National
56016,,0,BEL,AGIR,,,BE: AGIR
56017,,0,BEL,PTB,,,BE: PTB
56018,,0,BEL,PVV,,,BE: PVV
56019,,0,BEL,RW,,,BE: RW
56020,,0,BEL,,Amada-Ral,,BE: Amada-Ral
56021,,0,BEL,CVP-PSC,,,BE: CVP - PSC
56022,,0,BEL,PS-SP,,,BE: PS - SP
56023,,0,BEL,PVV-PLP-PRLW,,,BE: PVV - PLP - PRLW
56024,,0,BEL,VU-FDF-RW,,,BE: VU - FDF - RW
56025,,0,BEL,KP-PC,,,BE: KP - PC
56026,,0,BEL,RAD-UDR,RAD -- UDR,,BE: RAD - UDR
56027,,0,BEL,,Ecologiste,,BE: Ecologiste
56028,,0,BEL,CD&V,Christen-Democratisch en Vlaams,,BE - Christen-Democratisch en Vlaams - CD&V
56029,,0,BEL,VLD,Vlaamse Liberalen en Democraten Open,,BE - Vlaamse Liberalen en Democraten Open - VLD
56030,,0,BEL,SP.A,Socialisten en Progressieven Anders,,BE - Socialisten en Progressieven Anders - SP.A
56031,,0,BEL,,Vlaams Belang,,BE - Vlaams Belang
56032,,0,BEL,,Groen!,,BE - Groen!
56033,,0,BEL,,Lijst Dedecker,,BE - Lijst Dedecker
56034,,0,BEL,N-VA,Nieuw-Vlaamse Alliantie,,BE - Nieuw-Vlaamse Alliantie - N-VA
56035,,0,BEL,SLP,Sociaal Liberale Partij,,BE - Sociaal Liberale Partij - SLP
56036,,0,BEL,MR,Mouvement Réformateur,,BE - Mouvement Réformateur - MR
56037,,0,BEL,CDH,Centre Democrate Humaniste,,BE - Centre Démocrate Humaniste - CDH
56038,,0,BEL,PTB-UA,Parti du Travail de Belgique -- Unité Antifasciste,,BE - Parti du Travail de Belgique - Unité Antifasciste - PTB-UA
56039,,0,BEL,LiDé,Libéral Démocrate,,BE - Libéral Démocrate - LiDé
56040,,1,BEL,,,Other,BE - Other
70001,,0,BIH,SNS,Srpski narodni savez -- Biljana Plavsic,,BA: Srpski narodni savez (SNS) - Biljana Plavsic
70002,,0,BIH,SNSD,Stranka nezavisnih socijal-demokrata,,BA: Stranka nezavisnih socijal-demokrata (SNSD)
70003,,0,BIH,SPRS,Socijalistia partija Republike Srpska,,BA: Socijalistia partija Republike Srpska (SPRS)
70004,,0,BIH,SDS,Srpska demokratska stranka,,BA: Srpska demokratska stranka (SDS)
70005,,0,BIH,SRS-RS,Srpska radikalna stranka Republike Srpske,,BA: Srpska radikalna stranka Republike Srpske (SRS RS)
70006,,0,BIH,PDP,Partija Demokratskog Progresa,,BA: Partija Demokratskog Progresa (PDP)
70007,,0,BIH,DSP,Demokr. Socijalistička Partija + Nebojsa Radmanovic,,BA: Demokr. SocijalistiÃ¨ka Partija (DSP) + Nebojsa Radmanovic
70008,,0,BIH,DNS,Demokratski Narodni Savez -- Dragan Kostic,,BA: Demokratski Narodni Savez (DNS) - Dragan Kostic
70009,,0,BIH,SDA,Stranka Demokratske Akcije,,BA: Stranka Demokratske Akcije (SDA)
70010,,0,BIH,SB,Stranka za Bosnu i Hercegovinu,,BA: Stranka za Bosnu i Hercegovinu (SB&H)
70011,,0,BIH,DNZ,Demokratska Narodna Zajednica,,BA: Demokratska Narodna Zajednica (DNZ)
70012,,0,BIH,BOSS,Bosanska Stranka,,BA: Bosanska Stranka (BOSS)
70013,,0,BIH,SABiH,Stranka Aena BiH,,BA: Stranka Å½ena BiH (SÅ½BiH)
70014,,0,BIH,BSP,Bosanska Stranka Prava,,BA: Bosanska Stranka Prava (BSP)
70015,,0,BIH,,Bosanska Socijal Demokratska Partija,,BA: Bosanska Socijal Demokratska Partija
70016,,0,BIH,BIH-HDZ,Hrvatska Demokratska Zajednica -- BIH,,BA: Hrvatska Demokratska Zajednica - BIH (HDZ-BiH)
70017,,0,BIH,NHI,Nova Hrvatska Inicijativa,,BA: Nova Hrvatska Inicijativa (NHI)
70018,,0,BIH,HSS,Hrvatska Seljačka Stranka,,BA: Hrvatska SeljaÃ¨ka Stranka (HSS-BiH)
70019,,0,BIH,,Narodna stranka + Radom za boljitak,,BA: Narodna stranka + Radom za boljitak
70020,,0,BIH,DPBRS,Demokratski patriotski blok Republike Srpske,,BA: Demokratski patriotski blok Republike Srpske (DPBRS)
70021,,0,BIH,,,Serbian National Union of Biliana Plavsic,BA: Serbian National Union of Biliana Plavsic
70022,,0,BIH,,,Federalist Democratic Party,BA: Federalist Democratic Party
70023,,0,BIH,SPAS,Srpska patriotskia stranka,,BA: Srpska patriotskia stranka (SPAS)
70024,,0,BIH,SRPNP,Srpska radikalna stranka Nicola Pasic,,BA: Srpska radikalna stranka Nicola Pasic (SRPNP)
70025,,0,BIH,SSJ,Strnka srpskog jedinstva,,BA: Strnka srpskog jedinstva (SSJ)
70026,,0,BIH,SSK,Srpska stranka Krajine (Krajisnici),,BA: Srpska stranka Krajine (Krajisnici) (SSK Krajisnici)
70027,,0,BIH,SSS-RS,Srpska seljacka stranka Republike Srpske,,BA: Srpska seljacka stranka Republike Srpske (SSS RS)
70028,,0,BIH,SR,,Popular Party of SR People's Party,BA: Popular Party of SR Peopleâ??s Party
70029,,0,BIH,,,United List for Bosnia and Herzegovina,BA: United List for Bosnia and Herzegovina
70030,,0,BIH,HDZ,Hrvatska demokratska zajednica,,BA: Hrvatska demokratska zajednica (HDZ)
70031,,0,BIH,,,National Democratic Union,BA: National Democratic Union
70032,,0,BIH,LS,Liberalna stranka Bosne i Hercegovine,,BA: Liberalna stranka Bosne i Hercegovine (LS BiH)
70033,,0,BIH,SPP,Stranka privednog prosperiteta,,BA: Stranka privednog prosperiteta (SPP)
70034,,0,BIH,LBO,Liberalna b. organizacija,,BA: Liberalna b. organizacija (LBO)
70035,,0,BIH,GDS,Gradanska demokratska stranka,,BA: Gradanska demokratska stranka (GDS)
70036,,0,BIH,,,Woman Bosnia and Hercegovina,BA: Woman Bosnia and Hercegovina
70037,70014,0,BIH,HSP,Hrvatska stranka prava,,BA: Hrvatska stranka prava (HSP)
70038,,0,BIH,BPS,Bosanskohercegovacka patriotska stranka,,BA: Bosanskohercegovacka patriotska stranka (BPS)
70039,,0,BIH,SDP,Socijal-demokratska partija,,BA: Socijal-demokratska partija (SDP)
70040,,0,BIH,SSK,,Serbian Party for Kraina and Posavina,BA: Serbian Party for Kraina and Posavina (SSK)
70041,,0,BIH,,,Party of the New Social Democrats,BA: Party of the New Social Democrats
70042,,0,BIH,HKDU,,Croatian Christian Democratic Union of BiH,BA - Croatian Christian Democratic Union of BiH - HKDU
70043,,0,BIH,,,Croatian Party of Rights Dr. Jurisic Djapic,BA - Croatian Party of Rights Dr. Jurisic Djapic
70044,,0,BIH,HDZ,,Croatian Democratic Union 1990 -- Croatian Unity,BA - Croatian Democratic Union 1990 Croatian Unity - HDZ 1990
70045,,0,BIH,SP,,Socialistic Party,BA - Socialistic Party - SP
70046,,0,BIH,LDS,,Liberal Democratic Party,BA - Liberal Democratic Party - LDS
70047,,0,BIH,SNSD,,The Alliance of Independent Social Democrats,BA - The Alliance of Independent Social Democrats - SNSD
70048,,0,BIH,,,Bosnia-Podrinje People's -- Party,BA - Bosnia-Podrinje People's - Party
70049,,0,BIH,SDU,,Social-Democratic Union,BA - Social-Democratic Union - SDU
70050,,0,BIH,DEPOS,,Democratic Movement of the Srpska,BA - Democratic Movement of the Srpska - DEPOS
70051,,0,BIH,,,Party of Pensioners of BiH,BA - Party of Pensioners of BiH
70052,,1,BIH,,,Other,BA - Other
76001,,0,BRA,PMDB,,Party of Brazilian Democratic Movement,BR: PMDB - Party of Brazilian Democratic Movement
76002,,0,BRA,PT,,Workers´Party,BR: PT - Workers´Party
76003,,0,BRA,PSDB,,Brazilian Social Democracy,BR: PSDB - Brazilian Social Democracy
76004,,0,BRA,PDT,,Democratic Labor Party,BR: PDT - Democratic Labor Party
76005,,0,BRA,PPB,,,BR: PPB
76006,,0,BRA,PFL,,Liberal Front,BR: PFL - Liberal Front
76007,,0,BRA,PTB,,Brazilian Labor Party,BR: PTB - Brazilian Labor Party
76008,,0,BRA,PL,,,BR: PL
76009,,0,BRA,PC-B,PC do B,,BR: PC do B
76010,,0,BRA,PV,,,BR: PV
76011,,0,BRA,PRN,,National Reconstruction Party,BR: PRN - National Reconstruction Party
76012,,0,BRA,PSB,,,BR: PSB
76013,,0,BRA,PDC,PDC,,BR: PDC
76014,,0,BRA,PPS,PPS,,BR: PPS
76015,,0,BRA,PSC,PSC,,BR: PSC
76016,,0,BRA,PST,PST,,BR: PST
76017,,0,BRA,PMN,PMN,,BR: PMN
76018,,0,BRA,PRONA,PRONA,,BR: PRONA
76019,,0,BRA,PC,PC,,BR: PC
76020,,0,BRA,PPR,PPR,,BR: PPR
76021,,0,BRA,PDS,,Social Democratic Party,BR: PDS- Social Democratic Party
76022,,0,BRA,PSOL,PSOL,,BR: PSOL
76023,,0,BRA,DEM,,Democrats,BR: DEM (Democrats)
76024,,0,BRA,PP,,Progressive party,BR: PP (Progressive party)
76025,,0,BRA,PR,,Republican party,BR: PR (Republican party)
100001,,0,BGR,SDS,Suyuz na demokratichnite sili,Union of Democratic Forces,BG: Suyuz na demokratichnite sili (SDS) - Union of Democratic Forces
100002,,0,BGR,,,Peoples Union,BG: Peoples Union
100003,,0,BGR,BSP,Balgarska Socialisticheska Partiya,Bulgarian Socialist Party,BG: Balgarska Socialisticheska Partiya (BSP) - Bulgarian Socialist Party
100004,,0,BGR,BEL,Bulgarska Evrolevitza,The Euro-Left,BG: Bulgarska Evrolevitza (BEL) - The Euro-Left
100005,,0,BGR,BBB,Bulgarska biznes blok,Bulgarian Business Block,BG: Bulgarska biznes blok (BBB) - Bulgarian Business Block
100006,,0,BGR,DPS,Dvijenie za Prava i Svobodi,Movement for Rights and Freedom,BG: Dvijenie za Prava i Svobodi (DPS) - Movement for Rights and Freedom
100007,,0,BGR,,,Bulgarian Communist Party,BG: Bulgarian Communist Party
100008,,0,BGR,,,Liberal-Democratic Union,BG: Liberal-Democratic Union
100010,,0,BGR,II,,Monarchist -- National Movement Simeon II,BG: Monarchist  - National Movement Simeon II (2006)
100011,,0,BGR,BSDP,,Bulgarian Social-Democratic Party,BG: Bulgarian Social-Democratic Party  (BSDP)
100012,,0,BGR,BZNS,Balgarski Zemedelski Naroden Sajuz,Bulgarian Agrarian National Union,BG: Balgarski Zemedelski Naroden Sajuz (BZNS) - Bulgarian Agrarian National Union
100013,,0,BGR,VMRO-DPMNE,Vnatrena Makedonska Revol. Org. / Dem. Partija,Internal Macedonian Revolutionary Organization,BG: Vnatrena Makedonska Revol. Org./Dem. Partija (VMRO/DPMNE) Internal Macedonian Revolutionary Organization
100014,,0,BGR,MSRF,,Turkish Movement for Rights and Freedom,BG: MSRF - Turkish Movement for Rights and Freedom -
100015,,0,BGR,BAP,,Bulgarian Agrarian Party,BG: BAP - Bulgarian Agrarian Party
100016,,0,BGR,,,Popular Agrarian Party «A. Mozer»,BG: Popular Agrarian Party « A. Mozer»
100017,,0,BGR,,,Democrats for Strong Bulgaria,BG: Democrats for Strong Bulgaria
100018,,0,BGR,,,Attack´ Party,BG: ´Attack´ Party
100019,,0,BGR,,,Citizens for European Development of Bulgaria,BG: Citizens for European Development of Bulgaria
100020,,0,BGR,,,Georgiovden Movement,BG: Georgiovden Movement
100021,,0,BGR,,,Party of Free Democrats,BG: Party of Free Democrats
100022,,0,BGR,,Euroroma -- Tzvetelin Kanchev,,BG: Euroroma - Tzvetelin Kanchev
100023,,0,BGR,,,Popular Agrarian Party «Yane Yanev»,BG: Popular Agrarian Party « Yane Yanev »
100024,,0,BGR,,,The New Time,BG: The New Time
100025,,0,BGR,,,Right organizations,BG: Right organizations
100026,,0,BGR,NEP,NEP,,BG: NEP
100027,,0,BGR,,,Labours Party,BG: Labours Party
100028,,0,BGR,,,National Union Attack,BG: National Union Attack
100029,,0,BGR,,,Bulgarian Agrarian People's Union Alexander Stambolijski,BG: Bulgarian Agrarian People's Union Alexander Stambolijski
100030,,0,BGR,,,Democratic Party,BG: Democratic Party
100031,,0,BGR,,,Green Party of Bulgaria,BG: Green Party of Bulgaria
100032,,0,BGR,,,Movement for an Equal Public Model,BG: Movement for an Equal Public Model
100033,,0,BGR,,,National Movement for Stability and Progress,BG: National Movement for Stability and Progress
100034,100011,0,BGR,,,Party of Bulgarian Social Democrats,BG: Party of Bulgarian Social Democrats
100035,,0,BGR,,,Bulgarian Women's Party,BG: Bulgarian Women's Party
100036,,0,BGR,,,Roma party,BG: Roma party
100037,,0,BGR,,,Political Movement Social Democrats,BG: Political Movement Social Democrats
100038,,1,BGR,,,Other,BG: Other
112001,,0,BLR,PKB,,Party of Communists of Belarus,BY: Party of Communists of Belarus (PKB)
112002,,0,BLR,LDP,Liberral'na-Demakratycnaja Partyja Belarusi,Liberal-Democratic Party,BY: Liberalâ??na-Demakratycnaja Partyja Belarusi (LDP) - Liberal-Democratic Party
112003,,0,BLR,,,Belarussian Women Party Nadezhda,BY: Belarussian Women Party Nadezhda
112004,,0,BLR,,,Republican Party of Labour and Justice,BY: Republican Party of Labour and Justice
112005,,0,BLR,,,United Civic Party,BY: United Civic Party
112006,,0,BLR,,,Belarussian Social Sport Party,BY: Belarussian Social Sport Party
